areaCode_x,areaName,cumCasesByPublishDate,cumDeaths28DaysByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedThirdInjectionByPublishDate,Median age,People per sq. km,Asian%,"Black, African, Caribbean%",Mixed%,White%,Other%,Region code_x,% of key workers,% of the economically active population aged 16+ who are unemployed,% of all people aged 16-64 who are employees,% of all people aged 16-64 who are self-employed,Region name,% of households with at least 1 early-years or school age child,Average Deprivation Score 
E07000238,Wychavon,33391,295,109349,105269,90032,48.2,195,1,0.2,0.8,97.9,0.1,E12000005,38.9,2.8,66.6,12.3,West Midlands,19.2,15.8
E07000239,Wyre Forest,27600,291,81650,78193,65875,46.8,518,1.4,0.2,1,97.2,0.1,E12000005,33.1,3.6,71.1,9.7,West Midlands,17.7,22.4
E07000240,St Albans,46749,363,118873,113344,93463,41.1,921,6.4,1.7,2.8,88.4,0.7,E12000006,29.9,2.7,68.3,9.5,East  ,25.7,8.3
E07000012,South Cambridgeshire,44986,207,133208,127654,107882,43.1,176,3.7,0.9,1.7,93.3,0.4,E12000006,27.5,1.8,68,9.1,East  ,24.8,8.5
E07000034,Chesterfield,30230,272,82987,79301,64458,44.6,"1,589",1.5,0.8,1.1,96.5,0.1,E12000004,38.9,5.5,63.5,9.3,East Midlands,24.9,24.9
E07000035,Derbyshire Dales,17304,202,61283,59226,51451,51.1,91,0.6,0.1,0.7,98.6,0.1,E12000004,29.5,2.5,51.6,23.1,East Midlands,22.9,11.9
E07000080,Forest of Dean,20967,144,71628,68375,57856,48.2,165,0.6,0.2,0.6,98.5,0.1,E12000009,34.4,3.1,70,8,South West,19.3,18
E07000110,Maidstone,51305,454,133958,127257,102855,41.4,437,3.2,0.9,1.5,94.1,0.3,E12000008,30.2,2.7,71.1,8,South East,20.5,16.5
E07000130,Charnwood,55943,408,143980,136754,109136,38.4,666,9.7,0.8,1.6,87.4,0.6,E12000004,36.8,3.3,67.6,13.8,East Midlands,21.2,13.2
E07000146,King's Lynn and West Norfolk,38683,479,122780,117157,97822,47.9,105,1.3,0.4,0.9,97.3,0.2,E12000006,32.3,3.2,69.6,11.5,East  ,23.4,23.7
E07000171,Bassetlaw,35799,306,93773,89067,73512,45.7,184,1.1,0.5,0.9,97.4,0.2,E12000004,39.1,3.8,61.1,14,East Midlands,22.4,22.6
E07000198,Staffordshire Moorlands,27211,325,80114,76859,64747,48.6,171,0.5,0.1,0.6,98.7,0.1,E12000005,33.4,2.5,60.5,19.4,West Midlands,18.2,15
E07000027,Barrow-in-Furness,22267,213,52725,49948,39469,45,861,0.9,0.1,0.5,98.3,0.1,E12000002,32.8,4,63.2,3.6,North West,17.3,31.1
E07000063,Lewes,26614,276,81880,78054,64984,48,354,1.4,0.4,1.3,96.6,0.3,E12000008,31.6,3.5,60.8,19.2,South East,18.8,15.8
E07000077,Uttlesford,26189,166,73634,70757,58327,43.9,142,1.4,0.5,1.2,96.6,0.2,E12000006,29,2.2,56.6,22.9,East  ,24.9,9.3
E07000086,Eastleigh,39650,227,108478,103908,86261,42.1,"1,677",3,0.5,1.4,94.7,0.5,E12000008,32.8,2.8,80.4,4.7,South East,29.4,10.2
E07000122,Pendle,29048,290,67545,62364,42538,39.7,544,18.8,0.1,1.1,79.9,0.2,E12000002,40,4,59.3,16.3,North West,36.3,30.7
E07000200,Babergh,22352,262,75971,72828,61925,48.8,155,0.8,0.3,0.9,97.8,0.2,E12000006,39.6,2.8,61.1,16.6,East  ,23.2,14.3
E07000039,South Derbyshire,32527,287,87087,83449,68326,42,317,2.5,0.4,1.1,95.7,0.2,E12000004,28.6,2.8,75.4,5.7,East Midlands,29.1,14.5
E07000076,Tendring,39264,667,120781,115406,96282,50.8,436,0.9,0.3,1.1,97.6,0.1,E12000006,35.6,3.9,55.6,10.7,East  ,17.2,30.5
E07000102,Three Rivers,29491,252,74961,71400,58112,41.8,"1,051",9.2,1.8,2.3,86.2,0.5,E12000006,41.7,2.4,59,16.2,East  ,22.9,9.9
E07000135,Oadby and Wigston,18606,190,44969,42672,33749,42.6,"2,423",22.3,1.2,2.1,73,1.4,E12000004,22.3,3.5,79.8,4.9,East Midlands,26.7,13
E07000167,Ryedale,12295,102,46005,44106,38555,50.4,37,0.5,0.2,0.6,98.7,0.1,E12000003,28,2.1,66,8.8,Yorkshire and The Humber,20.9,15.7
E07000180,Vale of White Horse,37244,157,113498,109061,91732,42.5,235,2.4,1,1.3,94.9,0.3,E12000008,21.7,2.5,78.1,13.3,South East,28.8,8.4
E07000008,Cambridge,37637,123,115341,107269,85386,30.3,"3,066",11,1.7,3.2,82.5,1.6,E12000006,28.7,2.2,71.3,8.1,East  ,20.9,14.9
E07000030,Eden,12684,157,44827,43228,36824,50.8,25,0.6,0,0.4,98.9,0.1,E12000002,36.8,1.5,67.5,18.3,North West,17.9,16.3
E07000137,East Lindsey,32776,495,120141,114960,97486,52.4,80,0.6,0.2,0.7,98.5,0.1,E12000004,42,4.9,55.9,10.4,East Midlands,15.7,29.9
E07000142,West Lindsey,25479,233,77894,74641,63310,48.2,83,0.8,0.3,0.7,98.2,0.1,E12000004,37,4,65.4,6.3,East Midlands,24.9,20.4
E07000199,Tamworth,24713,247,59508,56233,44559,41.3,"2,486",1,0.5,1,97.3,0.1,E12000005,30.9,3.6,76.9,4.3,West Midlands,29.5,21.1
E07000224,Arun,43142,397,131827,126009,106710,49.7,727,1.4,0.4,1,97.1,0.2,E12000008,31.9,3,63.4,11.5,South East,16.7,18.6
E07000246,Somerset West and Taunton,38335,285,129563,123693,103233,47.9,131,1.2,0.2,0.8,97.6,0.1,E12000009,,2.7,64.7,13.4,South West,20.5,19.1
E07000042,Mid Devon,20073,114,67863,64620,54819,46.7,90,0.6,0.1,0.6,98.6,0.1,E12000009,27.7,2.9,63.4,15.2,South West,27.7,16.9
E07000085,East Hampshire,31799,220,103791,99716,85596,47.1,238,1.6,0.4,1.1,96.6,0.3,E12000008,39.2,2.5,68.5,11.6,South East,27.1,10.3
E07000093,Test Valley,36009,226,106145,102097,85982,45,201,2,0.4,1.3,95.9,0.3,E12000008,36.5,2.5,71.5,11,South East,24.9,11.9
E07000108,Dover,30824,395,91029,86652,69926,46.6,375,1.8,0.3,0.9,96.7,0.2,E12000008,35.4,4.2,60,12.8,South East,27.1,22.2
E07000111,Sevenoaks,34986,292,94940,90574,74617,44.3,327,1.8,0.7,1.5,95.8,0.2,E12000008,25.7,2.9,56.1,11,South East,26,12.4
E07000114,Thanet,39258,514,108581,102409,80965,45.1,"1,370",1.9,0.7,1.6,95.5,0.3,E12000008,29.4,5.3,57.1,14,South East,20.9,31.3
E07000124,Ribble Valley,19506,177,51194,48994,40045,48.1,104,1.3,0.2,0.6,97.9,0.1,E12000002,32.4,1.9,61.5,12.8,North West,25.9,10.6
E07000193,East Staffordshire,37111,477,93493,88105,70445,41.9,309,6.9,0.9,1.4,90.4,0.3,E12000005,28.8,2.6,70.4,6.9,West Midlands,20.1,19
E07000211,Reigate and Banstead,47979,441,117932,111726,90977,41.5,"1,152",5.1,1.6,2.2,90.6,0.6,E12000008,25.3,2.6,72.2,9.3,South East,31,11.3
E07000220,Rugby,35192,199,86579,82171,65330,41.2,310,5.2,2,2,90.5,0.3,E12000005,23.3,3.1,69.8,11,West Midlands,24.3,14.1
E07000236,Redditch,26403,230,63879,60131,46387,40.2,"1,572",4.8,1,2,92,0.2,E12000005,38,3.4,68.8,5.1,West Midlands,30.4,22.5
E07000033,Bolsover,23752,253,63059,60149,48764,44,502,0.8,0.4,0.7,98.1,0,E12000004,36.4,3.8,68.9,,East Midlands,17.1,25
E07000038,North East Derbyshire,28829,330,83745,80586,67600,47.9,368,0.8,0.2,0.8,98,0.1,E12000004,32.6,3,67,9.3,East Midlands,21.4,17.4
E07000064,Rother,22892,368,77923,74650,63930,53.1,189,1.2,0.3,1.1,97.1,0.2,E12000008,38,3.3,66.3,12.9,South East,16.1,19.8
E07000123,Preston,47730,406,109464,101270,70733,35.3,"1,006",15.5,1.2,2.4,80.2,0.8,E12000002,38.2,3.7,67.9,8.7,North West,27.1,29.5
E07000197,Stafford,40510,393,110415,105606,86325,45.4,229,2.5,0.8,1.3,95,0.4,E12000005,34.6,2.9,71.2,7.9,West Midlands,16.7,13.7
E07000207,Elmbridge,44374,284,111217,105676,87033,43,"1,439",5.4,0.8,2.6,90.3,1,E12000008,25,2.6,68,12.1,South East,27.2,7.9
E07000011,Huntingdonshire,49518,318,146784,140725,116955,43.5,196,2.5,1,1.5,94.8,0.3,E12000006,31.1,2.5,67.7,10.1,East  ,19.2,12.6
E07000089,Hart,28791,181,82556,79358,67870,43.7,451,2.7,0.6,1.6,94.9,0.3,E12000008,24.7,2.1,75.8,7.5,South East,36.2,5.5
E07000120,Hyndburn,27420,284,58577,54297,37067,39.8,"1,110",11.2,0.1,0.9,87.7,0.2,E12000002,25.4,4.2,68.1,9.8,North West,23.3,34.3
E07000141,South Kesteven,39694,326,116669,111825,94527,46.5,151,1.2,0.4,0.9,97.5,0.1,E12000004,31.8,3.5,62.5,13.4,East Midlands,27.4,13.5
E07000178,Oxford,47082,176,130754,120140,90987,28.9,"3,343",12.4,4.6,4,77.7,1.4,E12000008,28.9,2.7,65.7,11.6,South East,29.6,16.7
E07000209,Guildford,41730,253,115673,109093,90030,37.4,550,4.8,1.2,1.8,90.9,1.2,E12000008,32,1.9,68.5,10.1,South East,21,9.4
E07000036,Erewash,33586,362,89578,85617,69357,43.9,"1,052",1.2,0.5,1.1,97,0.1,E12000004,37.4,3.9,72,12.7,East Midlands,25.9,18.8
E07000121,Lancaster,41527,384,114290,107617,87415,39.5,258,2.7,0.5,1,95.6,0.2,E12000002,35.4,3.6,65.6,13,North West,23.1,24.2
E07000131,Harborough,27681,190,78761,75702,64199,46.2,159,3,0.4,1.1,95.2,0.2,E12000004,42.4,2.8,69.4,13.5,East Midlands,29.5,8
E07000219,Nuneaton and Bedworth,42185,391,101761,96043,73387,41.3,"1,645",6.3,0.8,1.1,91.3,0.4,E12000005,34.4,3.8,70.6,10.7,West Midlands,28.3,23.5
E07000244,East Suffolk,58271,656,205401,197100,167719,49.3,198,1.2,0.4,1.1,97.1,0.1,E12000006,,2.7,63.6,10.7,East  ,21.9,19.6
E07000245,West Suffolk,43637,280,134545,128037,106028,41.3,173,1.8,1.3,1.8,94.6,0.5,E12000006,,2.3,74.1,9.9,East  ,16.9,16.2
E07000087,Fareham,30688,306,96188,92761,79597,46.7,"1,565",1.5,0.3,1.2,96.8,0.2,E12000008,30.5,2.5,70.5,10.5,South East,22.9,9
E07000103,Watford,32363,262,75275,70819,53394,37,"4,507",17.9,5.8,3.4,71.9,0.9,E12000006,31.3,2.8,67.8,8.3,East  ,22.5,15.4
E07000136,Boston,18999,225,50211,47567,36850,41.9,192,1.4,0.4,1,96.8,0.3,E12000004,42.7,4.7,70.6,7.1,East Midlands,24.1,23
E07000152,East Northamptonshire,25963,251,74031,70189,57693,44.8,185,1.3,0.7,1.2,96.6,0.2,E12000004,30.8,2.9,64,16,East Midlands,22.7,13.9
E07000202,Ipswich,39166,366,102181,96607,75183,38.2,"3,465",4.3,2.3,3.6,88.9,0.9,E12000006,35.3,4,69.2,7.1,East  ,26.1,25.9
E07000213,Spelthorne,32600,239,79512,75314,59255,41.8,"2,224",7.6,1.6,2.5,87.3,1,E12000008,32.1,3,66.8,11,South East,29.1,14.9
E07000223,Adur,17237,94,51731,49461,41985,45.7,"1,529",1.7,0.5,1.4,95.9,0.4,E12000008,39.2,3.4,71.6,14.2,South East,30.5,17.6
E07000028,Carlisle,32328,373,86370,82193,67016,45.1,105,1.2,0.1,0.5,98.1,0.1,E12000002,34,2.7,67.5,11.2,North West,19.1,22
E07000029,Copeland,20852,231,55034,52601,43216,47.1,93,0.9,0.1,0.5,98.4,0.1,E12000002,33.6,2.8,69.7,8.1,North West,19.9,25
E07000062,Hastings,26521,279,68373,64259,50823,43.4,"3,110",2.4,1.2,2.2,93.8,0.5,E12000008,33.1,4.4,64.4,12.3,South East,22.1,34.3
E07000065,Wealden,40906,421,130315,124948,105484,49,194,1.2,0.2,1,97.5,0.2,E12000008,33.3,2.7,63.6,13.9,South East,26.7,12.3
E07000075,Rochford,25875,316,69834,67074,55070,46.2,522,1.1,0.5,1.1,97.2,0.2,E12000006,23.8,2,70.5,12.2,East  ,22,10.4
E07000113,Swale,44004,488,116109,109650,88104,41.1,402,1.1,1,1.2,96.6,0.2,E12000008,35.1,4.7,66.1,9.5,South East,34.7,27.1
E07000156,Wellingborough,23946,189,60894,57327,45400,42,489,5.9,3.6,2.9,87.3,0.3,E12000004,40.5,4.5,76.3,11.2,East Midlands,19.7,21.7
E07000166,Richmondshire,13606,95,44575,42000,33881,44,41,2.4,1,1,95.4,0.3,E12000003,39.5,2.4,61.8,11.2,Yorkshire and The Humber,17.7,12.1
E07000188,Sedgemoor,33121,232,100499,95822,78157,46.9,218,0.6,0.1,0.8,98.4,0.1,E12000009,27.5,3.8,68,7.9,South West,20.8,21.3
E07000210,Mole Valley,24570,257,73030,69847,59122,47.5,338,2.5,0.5,1.5,95.1,0.4,E12000008,34.7,2.2,70.5,11.4,South East,26.4,9.5
E07000237,Worcester,29891,204,79882,75312,59266,38.7,"3,042",4.4,0.5,1.4,93.4,0.2,E12000005,30.8,3.4,63.1,13.5,West Midlands,23.5,20.4
E07000061,Eastbourne,29504,335,80399,76050,61089,45.8,"2,349",2.8,0.8,1.8,94.1,0.5,E12000008,30.1,4.2,63.7,10.6,South East,28.6,22.1
E07000070,Chelmsford,55573,467,142397,135537,110067,41.6,527,2.9,1.2,1.6,93.9,0.4,E12000006,40.7,2.5,71,9.2,East  ,18.1,12.2
E07000118,Chorley,37686,307,92036,87685,69718,43.5,583,1.6,0.4,0.9,96.9,0.2,E12000002,34.4,2.9,61.1,11.3,North West,30.3,16.9
E07000139,North Kesteven,31390,266,97942,94389,80189,46.3,127,0.7,0.2,0.7,98.2,0.1,E12000004,37.5,3,60,12.8,East Midlands,23.5,11.6
E07000179,South Oxfordshire,39726,204,122999,118620,100477,44.4,209,1.8,0.6,1.3,96.1,0.2,E12000008,29.3,2.1,73,13.4,South East,22.9,8.5
E07000181,West Oxfordshire,29706,156,95583,91921,77795,44.7,155,1.4,0.4,1.2,96.8,0.2,E12000008,29.6,2,69.3,9.5,South East,23,8.7
E07000196,South Staffordshire,33080,315,90679,86781,71688,48,276,2,0.5,1.4,95.9,0.2,E12000005,35.2,2.8,64.9,9.3,West Midlands,23.1,13.1
E07000046,Torridge,15482,95,56407,54008,45897,50.7,69,0.4,0.1,0.7,98.7,0.1,E12000009,41.3,2.5,55.9,23.2,South West,15.3,23.3
E07000081,Gloucester,38460,255,99410,93353,75504,39.2,"3,184",4.8,2.9,2.9,89.1,0.3,E12000009,29.1,4.1,69,8.7,South West,25.3,21.8
E07000098,Hertsmere,33979,338,82190,78246,62514,40.9,"1,037",7.4,3.9,2.6,85,1,E12000006,45.3,3.1,64.7,13.6,East  ,32.3,13.9
E07000143,Breckland,33872,363,113312,108659,90945,46.8,107,0.8,0.5,1.2,97.4,0.1,E12000006,31.3,2.4,74.2,4.9,East  ,21.8,19.6
E07000144,Broadland,34707,374,110210,106101,91456,48.1,237,1,0.3,0.9,97.7,0.2,E12000006,38.8,2.2,68.9,12.8,East  ,15.4,11.8
E07000150,Corby,24943,164,51380,47858,34926,37.5,900,1.3,1.6,1.4,95.5,0.2,E12000004,31.3,4.4,71.5,9.1,East Midlands,32.6,25.7
E07000172,Broxtowe,33658,330,90956,86890,71508,43.1,"1,424",4.1,0.9,1.7,92.7,0.6,E12000004,38.2,3.7,66.9,6.7,East Midlands,24.8,14.2
E07000174,Mansfield,34079,370,83650,79319,60886,42.1,"1,425",1.2,0.4,1.1,97.2,0.1,E12000004,31.9,5.1,65.7,7.4,East Midlands,20.1,28.5
E07000037,High Peak,26602,276,75165,72021,59617,46.1,172,0.8,0.2,1,97.9,0.1,E12000004,41.3,3.8,61.2,12.7,East Midlands,26.5,15.6
E07000106,Canterbury,41510,491,126429,119321,96132,38.2,536,3.4,1.3,1.7,93,0.6,E12000008,28.1,4.4,63.5,15,South East,22.5,16.8
E07000107,Dartford,36828,324,81858,76802,57685,37.3,"1,548",6,3.7,2.2,87.4,0.8,E12000008,38.4,3,63.8,22.5,South East,29.3,18.8
E07000133,Melton,14721,123,42135,40371,33813,47.6,106,1,0.2,0.8,97.9,0.1,E12000004,29,3.5,67,10.1,East Midlands,16.2,12.5
E07000163,Craven,14856,120,47890,45844,39237,50.6,49,1.8,0.1,0.7,97.4,0.1,E12000003,40.2,2.5,62.9,13.2,Yorkshire and The Humber,22.3,12.8
E07000216,Waverley,36854,290,105464,100035,86128,45,366,1.9,0.4,1.3,96,0.3,E12000008,38.3,2,69.5,14.8,South East,33.2,7.5
E07000241,Welwyn Hatfield,35714,282,87456,82135,62922,35.7,950,7.9,4.5,2.5,84.1,1,E12000006,34.3,2.9,75.7,7.1,East  ,21.5,14.2
E07000041,Exeter,36467,166,105554,98735,79604,33.6,"2,794",3.9,0.6,1.6,93.1,0.8,E12000009,35,2.9,69.7,7.8,South West,21.6,16.2
E07000043,North Devon,23854,107,81888,78066,64721,48,89,0.9,0.2,0.8,97.9,0.2,E12000009,36.6,2.9,68.7,14.4,South West,24.8,20.6
E07000112,Folkestone and Hythe,29901,480,88427,84009,69700,47.3,317,3.4,0.4,1.2,94.7,0.3,E12000008,33.5,4,63.6,17.8,South East,19.9,24.1
E07000117,Burnley,30979,344,65424,60682,42834,40,803,11,0.2,1.1,87.4,0.3,E12000002,31.9,5.6,63.8,7.7,North West,26.7,37.8
E07000132,Hinckley and Bosworth,33498,271,90540,86420,71629,45.1,380,2.1,0.2,1,96.5,0.2,E12000004,38.2,2.8,68.7,7.8,East Midlands,23.5,13.5
E07000165,Harrogate,46845,291,136751,130350,109656,47.5,123,1.5,0.7,1.1,96.3,0.3,E12000003,33.2,2.2,69.9,7.1,Yorkshire and The Humber,17.9,10.9
E07000222,Warwick,42675,280,117645,111991,93539,39.7,508,7.2,0.7,2,89.2,0.9,E12000005,27.7,2.8,70.1,12.6,West Midlands,21.1,12
E07000129,Blaby,32579,271,79689,76082,62405,42.9,778,6.1,1,1.6,91,0.4,E12000004,31.7,3.3,76.1,3.2,East Midlands,27.1,10.6
E07000151,Daventry,25292,172,70227,66933,55957,45,130,1.5,0.6,1.2,96.5,0.1,E12000004,26.9,3.4,61.7,13.4,East Midlands,27.6,13.2
E07000170,Ashfield,38514,411,96921,92321,72150,41.9,"1,168",0.9,0.4,0.9,97.7,0.1,E12000004,29.1,4.2,67.3,10.1,East Midlands,26.9,26.3
E07000217,Woking,32744,217,81354,77090,61834,41.1,"1,585",11.6,1.4,2.4,83.6,1.1,E12000008,26.4,2.3,75.7,6,South East,25.8,10.8
E07000078,Cheltenham,32229,229,96021,91166,75340,40.7,"2,496",3.2,0.6,1.6,94.3,0.3,E12000009,34.8,3.2,68.3,12.1,South West,24.9,14.3
E07000082,Stroud,30033,235,100041,95843,83219,46.7,260,0.7,0.2,1.1,97.9,0.1,E12000009,40.3,2.3,72.6,8.6,South West,14.6,10.8
E07000105,Ashford,38223,391,103984,98052,79333,42,224,3.4,1.2,1.4,93.7,0.3,E12000008,40.2,4,73.5,9.2,South East,18.5,18.5
E07000126,South Ribble,35925,294,88809,84598,66482,44.6,979,1.5,0.2,1.1,97.1,0.1,E12000002,32.3,2.6,74,8.1,North West,28.8,15.3
E07000138,Lincoln,30102,248,75034,70367,54175,33.4,"2,782",1.9,0.8,1.3,95.6,0.4,E12000004,33,5.5,64.7,6.3,East Midlands,22.8,26.9
E07000148,Norwich,39533,254,111572,104786,81228,33.5,"3,602",4.4,1.6,2.3,90.8,0.8,E12000006,37.8,4,71.3,9.4,East  ,24.6,27.6
E07000149,South Norfolk,35135,272,117192,112484,96250,46.2,155,1,0.3,1,97.6,0.1,E12000006,34.1,2,69.4,7.5,East  ,18.8,13.3
E07000177,Cherwell,46223,237,127145,121073,99492,41.2,256,4.3,1.4,1.8,92.2,0.4,E12000008,32.6,2.4,73.6,7.4,South East,21.2,14.4
E07000225,Chichester,30929,299,102974,98721,84208,49.3,154,1.4,0.5,1,96.9,0.2,E12000008,34.5,2.7,61.8,15.2,South East,23.8,14.1
E07000227,Horsham,39221,250,121391,116159,99983,46.3,271,2,0.5,1.4,96,0.2,E12000008,25.3,2.5,64.8,14.6,South East,22.9,9.9
E07000047,West Devon,12239,54,47461,45433,39073,51.3,48,0.6,0.1,0.8,98.5,0.1,E12000009,34.3,2.6,52.4,18.8,South West,25.9,18.1
E07000066,Basildon,60185,616,138489,130218,98042,39.3,"1,702",2.7,2.7,1.7,92.7,0.3,E12000006,33.7,3.8,65.2,12.2,East  ,27.8,23.2
E07000068,Brentwood,24149,254,59813,57258,45858,43.3,503,3.2,1.2,1.6,93.6,0.4,E12000006,31,3,50.2,16,East  ,16.1,10
E07000091,New Forest,42527,362,148549,143600,124599,50.8,239,0.9,0.3,0.9,97.6,0.2,E12000008,27.6,2.3,65.6,10.7,South East,25,13
E07000092,Rushmoor,31490,226,79035,74704,61535,38.8,"2,423",10.4,2,2.2,84.8,0.6,E12000008,30.6,2.8,71.8,6,South East,23.3,15.9
E07000153,Kettering,32041,256,79837,75453,59412,41.2,436,3.2,1.1,1.4,93.9,0.4,E12000004,37.3,4.8,76.7,13.4,East Midlands,28.7,19.2
E07000164,Hambleton,23380,186,77082,74065,64421,49.9,70,0.7,0.2,0.7,98.3,0.1,E12000003,46.8,2.5,68.3,10.8,Yorkshire and The Humber,27,12
E07000073,Harlow,29669,214,64718,60617,44009,37.5,"2,851",4.6,3.8,2.1,89.1,0.5,E12000006,30.1,4.8,70.3,10.1,East  ,26.7,21.4
E07000173,Gedling,36922,354,92252,87890,70888,44.1,983,2.9,1.5,2.3,93.1,0.2,E12000004,37.7,4.3,64.6,11.6,East Midlands,19.5,14.9
E07000175,Newark and Sherwood,35043,272,97363,92905,75328,45.4,188,0.9,0.4,1,97.5,0.1,E12000004,27.2,4.4,63.2,14.7,East Midlands,23.3,19.2
E07000192,Cannock Chase,31222,329,78621,74593,59693,42.6,"1,277",1,0.3,0.9,97.7,0.1,E12000005,28.6,3.1,75.4,9.4,West Midlands,31,20.4
E07000195,Newcastle-under-Lyme,37303,424,100579,95526,78067,41.9,614,2.8,0.7,1.2,95,0.3,E12000005,28.1,3.1,60.1,7.1,West Midlands,29.5,18.9
E07000228,Mid Sussex,44428,311,122137,116700,97931,43.8,452,2.7,0.6,1.4,95.1,0.2,E12000008,44.3,1.9,70.1,8.3,South East,25.2,7.7
E07000242,East Hertfordshire,44447,280,119819,114631,93903,42.7,315,1.9,0.7,1.6,95.5,0.3,E12000006,28.3,2.4,67,11.9,East  ,27.1,8.2
E07000109,Gravesham,33966,342,77838,73100,56091,39.7,"1,080",10.4,2.8,2,82.8,1.9,E12000008,31,4.7,75.4,7.1,South East,21.6,21.4
E07000115,Tonbridge and Malling,38675,246,103633,98889,80806,42.2,550,2,0.3,1.4,95.9,0.3,E12000008,27.7,2.8,62.2,17.8,South East,27.8,13.3
E07000127,West Lancashire,35188,333,89543,85028,67873,44.6,330,0.8,0.2,0.8,98.1,0.1,E12000002,44.5,3.7,55.6,17.5,North West,29.7,18.6
E07000134,North West Leicestershire,30910,272,82934,79240,64983,43.9,371,1.1,0.2,0.9,97.6,0.1,E12000004,26.5,3.6,67.1,5.7,East Midlands,24.4,14.6
E07000147,North Norfolk,20162,261,87118,83954,73855,54.3,109,0.5,0.2,0.6,98.6,0.1,E12000006,26.6,2.2,52.6,20.7,East  ,14.8,21.1
E07000194,Lichfield,31115,351,88362,84356,69643,46.6,316,1.6,0.5,1,96.8,0.1,E12000005,32.6,2.8,65.5,9.2,West Midlands,15.9,12.6
E07000208,Epsom and Ewell,25493,230,64155,60760,49655,41.5,"2,366",8.6,1.5,2.6,85.9,1.4,E12000008,26.9,2.2,70.4,16.8,South East,25.5,8.8
E07000226,Crawley,36939,240,86305,80865,60437,37.5,"2,500",13,3.3,2.9,79.9,1,E12000008,33.4,4.1,74.9,6.9,South East,23.5,18.9
E07000009,East Cambridgeshire,23308,106,72842,69916,59394,43.4,138,1.4,0.6,1.4,96.2,0.3,E12000006,35.7,1.9,74.6,7.8,East  ,25.4,11.5
E07000045,Teignbridge,33086,185,112167,107321,91797,49.4,199,0.7,0.1,0.7,98.3,0.1,E12000009,35.2,3.1,61.3,17.4,South West,21.8,15.9
E07000083,Tewkesbury,25607,173,78800,75271,65049,44.5,229,1.1,0.3,0.9,97.5,0.1,E12000009,24.6,3.2,77.1,7.2,South West,19.8,12.1
E07000128,Wyre,32702,455,91157,86869,72114,49.9,397,0.9,0.1,0.6,98.2,0.1,E12000002,48.2,2.8,68,10.6,North West,26.6,20.9
E07000215,Tandridge,26372,243,69601,66300,55003,44.3,355,2.6,1.1,2.2,93.8,0.3,E12000008,25.8,2.5,66.8,13.7,South East,28.6,11.9
E07000218,North Warwickshire,19475,183,51668,49286,38395,45.6,230,0.9,0.3,0.8,97.9,0.1,E12000005,23.6,3,66.1,10.8,West Midlands,27.8,17.9
E07000243,Stevenage,26850,175,66790,63033,48283,38.3,"3,383",5.8,3.4,2.7,87.7,0.5,E12000006,39.7,2.9,73.6,4.9,East  ,33.6,19.7
E07000044,South Hams,20407,89,73107,69897,59064,51.5,98,0.6,0.1,0.8,98.4,0.1,E12000009,37.5,2.4,55.3,21.7,South West,21.1,13.7
E07000071,Colchester,57628,455,150564,142650,113539,37.8,593,3.7,1.5,1.8,92,1,E12000006,36.8,3.2,66.1,6.5,East  ,23.6,16.8
E07000084,Basingstoke and Deane,50753,333,145614,139200,114403,41.3,279,4,1.1,1.7,92.9,0.3,E12000008,32.7,2.7,69.3,13,South East,28.5,12.8
E07000116,Tunbridge Wells,33306,227,91977,87190,71627,43.2,358,2.5,0.6,1.6,94.9,0.3,E12000008,23.5,3,61.5,17.9,South East,32.1,11.3
E07000176,Rushcliffe,37149,261,97732,93671,78864,43.9,291,4.2,0.6,1.8,93.1,0.4,E12000004,28.5,2.5,61,14.6,East Midlands,21.8,7.2
